06/18/2017 12:41:49 : Chyba velkosti suboru D:\OEE\TC_Konektor\Data\OEE.txt : Subor bude vymazany
06/18/2017 12:41:53 : Chyba velkosti suboru D:\OEE\TC_Konektor\Data\OEE.txt : Subor bude vymazany
06/18/2017 12:41:56 : Chyba velkosti suboru D:\OEE\TC_Konektor\Data\OEE.txt : Subor bude vymazany
06/18/2017 12:41:59 : Chyba velkosti suboru D:\OEE\TC_Konektor\Data\OEE.txt : Subor bude vymazany
06/18/2017 12:42:02 : Chyba velkosti suboru D:\OEE\TC_Konektor\Data\OEE.txt : Subor bude vymazany
07_06_2017 05_05_53 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_05_57 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_06_01 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_06_05 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_06_09 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_06_13 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_06_17 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_06_21 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_06_26 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_06_30 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_06_34 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_06_38 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_06_42 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_06_46 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_06_50 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_06_54 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_06_58 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_07_03 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_07_07 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_07_11 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_07_15 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_07_19 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_07_23 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_07_27 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_07_31 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_07_35 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_07_39 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_07_43 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_07_48 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_07_52 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_07_56 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_08_00 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_08_04 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_08_08 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_08_12 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_08_16 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_08_20 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_08_24 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_08_29 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_08_33 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_08_37 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_08_41 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_08_45 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_08_49 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_08_53 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_08_57 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_09_01 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_09_05 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_09_10 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_09_14 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_09_18 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_09_22 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_09_26 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_09_30 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_09_34 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_09_38 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_09_42 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_09_46 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_09_51 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
07_06_2017 05_09_55 : Konfig Error : Can't connect to MySQL server on '192.168.0.100' (10061)
